area,aream2,balconydirection,bedroom,bedroomcount,direction,floorcount,frontage,lat,legal,long,price,pricebil,priceext,pricemil,priceperm2,pricevnd,road,toiletcount,khu_vuc,duong,gia_theo_m2
180 m²,180.0,Đông - Nam,4 PN,4 phòng,Đông - Nam,3 tầng,9 m,20.980504989624,Sổ đỏ/ Sổ hồng,105.754943847656,,36.0,~200 triệu/m²,36000,200.0,36000000000,15 m,4 phòng,180 m²,15 m,0.0
70 m²,70.0,Đông - Nam,4 PN,4 phòng,Đông - Nam,3 tầng,"13,5 m",20.9671845,Sổ đỏ/ Sổ hồng,105.7768401,,16.8,~240 triệu/m²,16800,240.0,16800000000,11 m,3 phòng,70 m²,11 m,0.0
50 m²,50.0,Tây - Bắc,4 PN,4 phòng,Tây - Bắc,5 tầng,7 m,20.968324226441,Sổ đỏ/ Sổ hồng,105.772381742553,,17.5,~350 triệu/m²,17500,350.0,17500000000,30 m,5 phòng,50 m²,30 m,0.0
34 m²,34.0,Tây - Bắc,3 PN,3 phòng,Tây - Bắc,4 tầng,"3,02 m",20.9264405927996,Sổ đỏ/ Sổ hồng,105.739770350608,,2.78,"~81,76 triệu/m²",2780,81.76470588235294,2780000000,3 m,3 phòng,34 m²,3 m,0.0
41 m²,41.0,Tây - Nam,4 PN,4 phòng,Tây - Nam,4 tầng,"3,5 m",20.9678935647029,Sổ đỏ/ Sổ hồng.,105.755008353113,,6.5,"~158,54 triệu/m²",6500,158.53658536585365,6500000000,"3,5 m",3 phòng,41 m²,"3,5 m",0.0
